genus,genome
Claviceps,GCA_000347355.1_ASM34735v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360045.1_CSU_CCC1504_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360055.1_CSU_CCC1483_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360065.1_CSU_CCC1485_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360075.1_CSU_CCC1219_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360085.1_CSU_LM583_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360135.1_CSU_CCC632_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360145.1_CSU_CCC489_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360175.1_CSU_CCC1102_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360185.1_CSU_CCC647_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360205.1_CSU_CCC659_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360215.1_CSU_CCC535_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360225.1_CSU_CCC602_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360255.1_CSU_CCC398_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360275.1_CSU_LM458_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360325.1_CSU_LM81_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360345.1_CSU_LM84_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360355.1_CSU_Clav32_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360365.1_CSU_CCC265_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360375.1_CSU_LM77_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360385.1_CSU_LM78_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360435.1_CSU_LM218_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360445.1_CSU_LM220_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360465.1_CSU_LM576_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360475.1_CSU_LM469_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360525.1_CSU_Clav50_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360535.1_CSU_LM461_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360565.1_CSU_LM470_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360575.1_CSU_LM454_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360585.1_CSU_LM582_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360595.1_CSU_LM219_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360605.1_CSU_LM474_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360655.1_CSU_LM233_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360675.1_CSU_LM39_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360685.1_CSU_LM14_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360725.1_CSU_LM223_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360735.1_CSU_LM60_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360745.1_CSU_LM232_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360755.1_CSU_LM71_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360765.1_CSU_LM207_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360825.1_CSU_LM33_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360835.1_CSU_LM30_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360845.1_CSU_LM5_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360855.1_CSU_LM4_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360865.1_CSU_Clav55_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360905.1_CSU_Clav46_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360925.1_CSU_Clav26_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360935.1_CSU_Clav04_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360955.1_CSU_LM46_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018360975.1_CSU_LM28_v1_cds_from_genomic.fna.gz
Claviceps,GCA_018361025.1_CSU_Clav52_v1_cds_from_genomic.fna.gz
